Sno 	 time	 AAWT
 1	 2	 3.9473684210526314
 2	 4	 4.761904761904762
 3	 6	 6.276775271512114
 4	 8	 1.9194805194805196
 5	 10	 6.38250626566416
 6	 12	 6.085503614107733
 7	 14	 6.029466523451485
 8	 16	 3.902161654135338
 9	 18	 6.366722361459204
 10	 20	 4.401948051948051
 11	 22	 6.450117028107459
 12	 24	 5.831954887218043
 13	 26	 4.491272114613075
 14	 28	 6.111374214757674
 15	 30	 5.776162628794208
 16	 32	 6.479771439468235
 17	 34	 6.603995282323454
 18	 36	 4.663745221639958
 19	 38	 6.072269989167498
 20	 40	 6.2877500569605855
 21	 42	 4.700249541602925
 22	 44	 4.57942065908573
 23	 46	 7.9424579234647865
 24	 48	 6.54030910609858
 25	 50	 6.1937926634768745
 26	 52	 6.370317401896349
 27	 54	 6.670077832066136
 28	 56	 6.042969436578457
 29	 58	 6.892575482593629
 30	 60	 4.657426900584797
 31	 62	 7.161782021034992
 32	 64	 6.118164637136319
 33	 66	 6.365265091102411
 34	 68	 5.244428584831062
 35	 70	 7.478392084106367
 36	 72	 6.095007088428143
 37	 74	 6.148187769926901
 38	 76	 5.559347531508198
 39	 78	 6.547385998186916
 40	 80	 6.703002070393373
 41	 82	 6.019265458546587
 42	 84	 6.173056134595855
 43	 86	 6.33061141225156
 44	 88	 6.616914839200049
 45	 90	 5.785735550998709
 46	 92	 6.643878966190181
 47	 94	 7.128775664668357
 48	 96	 5.962815161256237
 49	 98	 5.645019320099877
 50	 100	 5.5617676008202315
 51	 102	 4.671814090497627
 52	 104	 6.566393255866937
 53	 106	 6.248349881340686
 54	 108	 6.758257083199873
 55	 110	 5.847597974454642
 56	 112	 5.361565669538047
 57	 114	 5.912363774702687
 58	 116	 6.010455076631199
 59	 118	 5.751610536356301
 60	 120	 5.616597383885712
 61	 122	 5.938626496693797
 62	 124	 6.284816614616571
 63	 126	 6.792353659521582
 64	 128	 6.0385267609488125
 65	 130	 6.07207494260126
 66	 132	 5.650051782348435
 67	 134	 5.982790969518659
 68	 136	 6.172273054565421
 69	 138	 6.520192774426186
 70	 140	 6.027446170479842
 71	 142	 6.21713342254484
 72	 144	 5.927686517017182
 73	 146	 7.0194049881865315
 74	 148	 7.096604841341687
 75	 150	 6.61997478544847
 76	 152	 6.477080299563141
 77	 154	 5.272422102087173
 78	 156	 5.792204871152241
 79	 158	 6.15499392901125
 80	 160	 4.994199846206425
 81	 162	 5.899928459382647
 82	 164	 5.71534985637235
 83	 166	 6.051792130929738
 84	 168	 6.1315711757277604
 85	 170	 5.75280733026863
 86	 172	 5.636848287031888
 87	 174	 6.004685592951985
 88	 176	 6.347220830102566
 89	 178	 5.9844114438514495
 90	 180	 6.011090520915081
 91	 182	 5.614141163765226
 92	 184	 6.409143605706138
 93	 186	 5.314936976935943
 94	 188	 5.9938632849047195
 95	 190	 6.938541551854812
 96	 192	 6.116087330067599
 97	 194	 6.130711376324625
 98	 196	 6.051752131801637
 99	 198	 6.07465213852427
 100	 200	 6.239105966497268
 101	 202	 6.281955619556727
 102	 204	 5.736824652890076
 103	 206	 5.936528290679499
 104	 208	 5.923427205263591
 105	 210	 4.916660520112627
